Puesto,Ciudad,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local,Año
,"Miami, Florida, Estados Unidos",8789,6198,7858,6862,7900,8557,2011
,"Abu Dabi, Emiratos Árabes Unidos",8772,9388,8993,6840,11815,8045,2011
,"Nicosia, Chipre",8721,3021,6674,7680,9083,9206,2011
,"San Diego, California, Estados Unidos",8657,6510,7886,7849,9550,10282,2011
,"Boise, Idaho, Estados Unidos",8635,2867,6563,7195,5672,12045,2011
,"Río de Janeiro, Brasil",8606,4355,7080,5267,6696,5187,2011
,"Dallas, Texas, Estados Unidos",8593,3828,6882,7757,5902,12756,2011
,"Seixal, Portugal",8541,4657,7147,6373,5986,4203,2011
,"Pamplona, España",8461,4302,6968,4444,7884,5520,2011
,"Berlín, Alemania",8455,3610,6715,7297,6380,11935,2011
,"Mineápolis, Estados Unidos",8347,4499,6965,8778,7824,12320,2011
,"Barcelona, España",8310,4038,6776,5949,6704,6082,2011
,"Rabat, Marruecos",8282,2942,6364,6573,4335,1036,2011
,"Atlanta, Georgia, Estados Unidos",8251,3783,6646,6834,6619,10302,2011
,"San José, California, Estados Unidos",8188,6510,7586,8401,5931,12559,2011
,"Regina, Canadá",8158,3703,6558,9688,7342,11432,2011
,"Fráncfort del Óder, Alemania",8127,4059,6666,6912,7209,13623,2011
,"Sliema, Malta",8111,3015,6281,6765,7771,8165,2011
,"Ottawa, Canadá",8054,4045,6615,8233,6872,13697,2011
,"Oporto, Portugal",7994,3427,6354,4811,5453,4756,2011
,"Nueva Orleans, Louisiana, Estados Unidos",7960,4727,6799,5975,5465,7089,2011
,"Louisville, Kentucky, Estados Unidos",7934,2125,5848,7393,5310,9544,2011
,"Hong Kong, Hong Kong, China)",7929,8185,8021,7246,5737,7663,2011
,"Sevilla (Sevilla), España",7927,3748,6426,6110,6676,6683,2011
,"Memphis, Tennessee, Estados Unidos",7909,3691,6394,6489,5583,9299,2011
,"Filadelfia, Pensilvania, Estados Unidos",7855,6106,7227,7348,6679,11219,2011
,"Milwaukee, Wisconsin, Estados Unidos",7819,3614,6309,7238,7361,10327,2011
,"Pretoria, Sudáfrica",7763,4920,6742,7103,6527,5288,2011
,"Hartford, Connecticut, Estados Unidos",7699,5712,6986,10251,5541,11607,2011
,"Preston, Reino Unido",7660,3945,6326,8673,7582,10689,2011
