Puesto,Ciudad,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local,Año
,"Phoenix, Arizona, Estados Unidos",6687,3332,5069,6240,7142,13929,2018
,"Sioux Falls, Dakota del Sur, Estados Unidos",6685,2570,4700,6913,5618,16893,2018
,"Salt Lake City, Utah, Estados Unidos",6676,3491,5140,6448,6875,14860,2018
,"Tulsa, Oklahoma, Estados Unidos",6671,2861,4834,6760,6203,12320,2018
,"Durham, Carolina del Norte, Estados Unidos",6644,3554,5154,6475,6779,14695,2018
,"Springfield, Missouri, Estados Unidos",6640,1879,4344,7360,6328,7768,2018
,"Winston-Salem, NC, Estados Unidos",6627,2496,4634,7192,6963,11744,2018
,"Nicosia, Chipre",6623,1722,4259,5367,7846,9059,2018
,"Doha, Catar",6612,6684,6646,5795,6581,12086,2018
,"Taichung, Taiwán",6598,1300,4043,8429,2975,6676,2018
,"Dallas, Texas, Estados Unidos",6594,4264,5470,6195,6711,16237,2018
,"Albuquerque, Nuevo México, Estados Unidos",6573,2550,4633,6804,6458,12357,2018
,"Arlington, Texas, Estados Unidos",6563,3004,4847,6202,6387,15290,2018
,"Madison, Wisconsin, Estados Unidos",6560,3695,5178,6250,6634,14483,2018
,"Liubliana, Eslovenia",6547,2062,4384,5476,5770,7470,2018
,"Zaragoza (Zaragoza), España",6540,1521,4120,5476,6066,7787,2018
,"Mobile (Alabama), Estados Unidos",6531,2463,4569,6740,6409,12220,2018
,"Hamilton, Canadá",6526,2760,4710,6077,6583,12271,2018
,"Louisville, Kentucky, Estados Unidos",6514,2833,4739,6576,6591,12721,2018
,"Beirut, Líbano",6503,3498,5054,4746,6658,5268,2018
,"Abu Dabi, Emiratos Árabes Unidos",6497,6425,6462,5430,6593,13124,2018
,"Salónica, Grecia",6494,1157,3920,5232,6177,4872,2018
,"Pensacola, Florida, Estados Unidos",6488,2872,4744,6212,6475,12873,2018
,"Atenas, Grecia",6467,1397,4022,5134,6482,5286,2018
,"Oklahoma City, Oklahoma, Estados Unidos",6429,2654,4609,6652,5815,14240,2018
,"Kitchener, Canadá",6390,2736,4628,5885,5989,12425,2018
,"Limasol, Chipre",6352,2422,4457,5224,6653,9312,2018
,"Huntsville, Alabama, Estados Unidos",6334,2745,4603,6413,6383,15226,2018
,"Tucson, Arizona, Estados Unidos",6300,2380,4410,6112,6364,13807,2018
,"Reno, Nevada, Estados Unidos",6288,3599,4992,5804,6410,13640,2018
,"La Habana, Cuba",6274,1201,3827,4143,2823,188,2018
,"Boise, Idaho, Estados Unidos",6265,2891,4637,5870,6539,13086,2018
,"Knoxville, Tennessee, Estados Unidos",6218,2977,4655,6036,6467,12869,2018
,"Acra, Ghana",6193,3230,4764,6007,4010,1407,2018
,"College Station, Texas, Estados Unidos",6185,3270,4779,6895,5712,11870,2018
,"Martin, Eslovaquia",6104,2080,4163,5666,5189,4436,2018
,"San Antonio, Texas, Estados Unidos",6092,3450,4818,5817,6096,15492,2018
,"Atenas, Georgia, Estados Unidos",6055,2667,4421,5785,5958,11052,2018
,"Tallin, Estonia",6051,1766,3984,4531,6104,7402,2018
,"San José, Costa Rica",6046,1928,4060,6098,4947,4889,2018
,"Valencia, España",6033,2061,4117,5092,5684,9071,2018
,"Kaohsiung, Taiwán",6022,1041,3620,7117,2625,12749,2018
,"Sevilla (Sevilla), España",6016,2115,4135,5211,5814,8143,2018
,"Lárnaca, Chipre",5997,1136,3653,4972,6680,8319,2018
,"Sarja, Emiratos Árabes Unidos",5938,2986,4515,5037,4399,12332,2018
,"Split, Croacia",5905,1374,3720,5046,5516,5322,2018
,"Manama, Baréin",5900,3065,4533,5763,5483,6756,2018
,"Rijeka, Croacia",5854,1229,3624,4963,4670,5141,2018
,"Amán, Jordania",5847,1458,3730,4955,5556,4183,2018
,"Zagreb, Croacia",5800,1539,3745,4952,4665,6419,2018
,"Lisboa, Portugal",5769,2933,4401,4702,5014,5848,2018
,"Patras, Grecia",5735,941,3423,4644,5351,6463,2018
,"Panamá, Panamá",5723,3246,4529,5648,5295,3824,2018
,"Málaga, España",5723,2119,3985,4893,5528,9471,2018
,"Campinas, Brasil",5721,1410,3642,4315,4820,5953,2018
,"Río de Janeiro, Brasil",5714,2161,4000,4219,4858,3915,2018
,"Funchal, Portugal",5700,1791,3815,4703,4430,5272,2018
,"Santiago de Chile, Chile",5685,1785,3804,4815,5532,5065,2018
,"Sao Paulo, Brasil",5683,2102,3956,4358,4859,4003,2018
,"Shanghái, China",5616,4195,4930,6170,4074,6616,2018
,"Buenos Aires, Argentina",5605,1558,3653,4819,5651,6003,2018
,"Bangkok, Tailandia",5579,2621,4152,6240,2799,4494,2018
,"Makati, Filipinas",5554,2691,4173,5997,2891,4637,2018
,"Tartu, Estonia",5549,1444,3569,4241,5570,7523,2018
,"Oporto, Portugal",5492,2087,3850,4579,4412,6331,2018
,"Riga, Letonia",5487,1523,3575,4256,5115,5377,2018
,"Coímbra, Portugal",5450,1458,3525,4639,4238,7556,2018
,"Granada, España",5447,1490,3539,4463,5102,9461,2018
,"Vilna, Lituania",5426,1790,3672,4258,4997,5697,2018
,"Porto Alegre, Brasil",5388,1479,3503,4232,4219,4635,2018
,"Brasilia, Brasil",5384,1673,3594,4465,4774,4933,2018
,"Praga, República Checa",5384,2506,3996,4704,4031,7713,2018
,"Bratislava, Eslovaquia",5364,2287,3880,4654,4437,7275,2018
,"Santa Cruz de Tenerife, España",5334,1805,3632,4456,5388,9375,2018
,"Pretoria, Sudáfrica",5319,1559,3506,4322,4705,10814,2018
,"Phuket, Tailandia",5317,1465,3459,5738,2769,5531,2018
,"Las Palmas de Gran Canaria, España",5271,2009,3698,4495,5106,8411,2018
,"Kaunas, Lituania",5256,1238,3319,4109,4584,5797,2018
,"Recife, Brasil",5222,1223,3293,4122,4158,3968,2018
,"Klaipeda, Lituania",5209,1161,3257,4352,4660,5853,2018
,"Fortaleza, Brasil",5200,981,3165,4369,3832,3052,2018
,"Windhoek, Namibia",5184,2311,3798,4776,4374,5551,2018
,"Moscú, Rusia",5182,3410,4327,4090,5603,5958,2018
,"Braga, Portugal",5143,1228,3255,4267,3690,7162,2018
,"Kosice, Eslovaquia",5136,1616,3438,4497,3336,6162,2018
,"Mascate, Omán",5120,2541,3876,4681,5163,10355,2018
,"Budapest, Hungría",5100,1808,3512,4071,4043,5554,2018
,"Jeddah (Jiddah), Arabia Saudita",5100,1441,3335,4321,3415,11318,2018
,"Johor Bahru, Malasia",5098,1196,3216,6342,2508,4293,2018
,"Harare, Zimbabue",5074,1424,3314,4545,3615,2686,2018
,"Belo Horizonte, Brasil",5041,1256,3215,3782,4112,3532,2018
,"Florianópolis, Brasil",5040,1508,3337,3936,4208,3969,2018
,"Adís Abeba, Etiopía",5030,2439,3780,4358,2250,1357,2018
,"Brno, República Checa",5029,1926,3532,4477,3498,7386,2018
,"San Salvador, El Salvador",5029,1278,3220,5128,3729,2862,2018
,"Al Khobar, Arabia Saudita",5018,1567,3353,4486,3374,12432,2018
,"Johannesburgo, Sudáfrica",5002,2245,3672,4172,4992,12599,2018
,"Petaling Jaya, Malasia",4980,1234,3173,5894,2368,6875,2018
,"Dar es-Salaam, Tanzania",4966,2456,3755,3482,3356,1887,2018
,"Shenzhen, China",4965,2537,3794,5367,3134,8396,2018
,"Penang, Malasia",4950,1067,3078,5699,2628,6842,2018
,"Guayaquil, Ecuador",4949,1357,3217,4421,3659,3614,2018
,"Curitiba, Brasil",4943,1263,3168,3700,4147,4626,2018
,"Nom Pen, Camboya",4924,1742,3389,5368,2462,2641,2018
,"Santo Domingo, República Dominicana",4910,1249,3144,4225,4638,2877,2018
,"Erbil (Irbil), Irak",4908,1391,3212,4162,4307,4920,2018
,"Osijek, Croacia",4904,814,2932,4085,3636,5844,2018
,"Gdansk, Polonia",4901,1780,3396,3686,4096,7277,2018
,"Ad Dammam, Arabia Saudita",4887,1268,3141,4233,3219,14135,2018
,"Quito, Ecuador",4884,1405,3206,4767,3641,3437,2018
,"Varsovia, Polonia",4831,2250,3586,3853,4220,7731,2018
,"Riad, Arabia Saudita",4821,1646,3290,4146,3541,12920,2018
,"Chiang Mai, Tailandia",4792,1210,3065,6054,2268,3168,2018
,"Gdynia, Polonia",4786,1460,3182,3815,4391,7298,2018
,"Kota Kinabalu, Malasia",4775,1048,2978,5627,2367,3717,2018
,"Ciudad del Cabo, Sudáfrica",4755,2898,3859,4096,4521,9427,2018
,"Pattaya, Tailandia",4724,1859,3342,5038,2961,2996,2018
,"Puerto Elizabeth, Sudáfrica",4709,1395,3111,4021,4153,6408,2018
,"Ciudad de Guatemala, Guatemala",4697,1552,3180,4364,3717,4141,2018
,"Kuching, Malasia",4679,686,2753,5235,2002,4176,2018
,"Yakarta, Indonesia",4647,1934,3339,4949,2634,3480,2018
,"San Petersburgo, Rusia",4641,2017,3375,3812,4773,5675,2018
,"Durban, Sudáfrica",4630,1574,3156,3921,4353,9643,2018
,"Kuala Lumpur, Malasia",4628,1796,3262,4717,2739,8073,2018
,"Breslavia, Polonia",4627,1964,3343,3806,3912,7419,2018
,"Pekín, China",4609,3351,4002,4492,3514,7661,2018
,"Bagdad, Irak",4605,1476,3096,4035,4203,5205,2018
,"Selangor, Malasia",4604,1134,2931,5035,2326,8861,2018
,"Olomouc, República Checa",4599,1301,3008,4334,3160,7950,2018
,"Cracovia (Cracovia), Polonia",4579,1818,3248,3666,3832,7359,2018
,"Maputo, Mozambique",4529,1858,3241,3664,4188,3315,2018
,"Poznan, Polonia",4527,1545,3089,3757,3754,7463,2018
,"Debrecen, Hungría",4492,1034,2824,3781,3304,4852,2018
,"Bydgoszcz, Polonia",4491,1510,3053,3524,3773,6601,2018
,"Ostrava, República Checa",4478,1073,2836,3889,3247,7836,2018
,"Estambul, Turquía",4473,1435,3008,3935,3300,5457,2018
,"Podgorica, Montenegro",4468,1110,2848,3564,3775,5180,2018
,"Szczecin, Polonia",4461,1273,2923,3591,3470,6033,2018
,"Bucarest, Rumania",4438,1400,2973,3660,4058,5875,2018
,"Belgrado, Serbia",4399,1228,2870,3231,3834,4025,2018
,"Lima, Perú",4392,1791,3138,3988,3153,3955,2018
,"Bali, Indonesia",4373,812,2656,4907,2529,2920,2018
,"lódz, Polonia",4368,1279,2878,3402,3668,7009,2018
,"Cantón, China",4350,2093,3261,4404,2737,7947,2018
,"Sofía, Bulgaria",4311,1296,2857,3706,3444,6066,2018
,"Sarajevo, Bosnia y Herzegovina",4250,1013,2689,3537,3150,4889,2018
,"Manila, Filipinas",4240,1994,3157,3819,2913,4304,2018
,"Lublin, Polonia",4233,1804,3062,3452,3411,5702,2018
,"Katowice, Polonia",4228,1237,2786,3417,3256,8177,2018
,"Varna, Bulgaria",4226,871,2608,3766,3485,4843,2018
,"Nairobi, Kenia",4206,1227,2770,4040,3431,2787,2018
,"Ekaterimburgo, Rusia",4205,1240,2775,3786,3608,5261,2018
,"Cebú, Filipinas",4181,1184,2736,4331,2471,2616,2018
,"Timisoara, Rumania",4162,1078,2675,3426,3697,5909,2018
,"Rabat, Marruecos",4162,1347,2804,3731,2757,4529,2018
,"Ciudad Ho Chi Minh, Vietnam",4128,1881,3045,4217,2109,3692,2018
,"Ankara, Turquía",4121,795,2517,3671,3139,5689,2018
,"Esmirna, Turquía",4097,886,2548,3748,2922,5457,2018
,"Burgas, Bulgaria",4081,729,2465,3583,3358,5053,2018
,"Cluj-Napoca, Rumania",4051,1360,2754,3470,3306,5981,2018
,"Plovdiv, Bulgaria",4029,765,2455,3549,3310,5498,2018
,"Bursa, Turquía",4026,673,2409,3446,2763,5563,2018
,"Yogyakarta, Indonesia",4001,609,2365,4578,1456,3025,2018
,"Hanói, Vietnam",3989,1456,2767,4028,2271,2709,2018
,"Novosibirsk, Rusia",3986,1216,2650,3577,3490,4789,2018
,"Bania Luka, Bosnia y Herzegovina",3985,777,2438,3273,2897,5124,2018
,"Nizhni Nóvgorod, Rusia",3983,1138,2611,3511,3777,4034,2018
,"Iasi, Rumania",3981,1055,2570,3352,3464,5129,2018
,"Suzhou, China",3957,1711,2874,3963,3165,9187,2018
,"Kazán, Rusia",3953,1281,2664,3382,4381,5114,2018
,"Sibiu, Rumania",3950,846,2453,3276,3338,5427,2018
,"Tirana, Albania",3933,996,2517,3179,3205,3805,2018
,"Chengdu, China",3926,1273,2647,3841,2842,7703,2018
,"Surabaya, Indonesia",3924,860,2446,4332,1867,3758,2018
,"Rostov del Don, Rusia",3910,1221,2613,3164,4173,3531,2018
,"Bogotá, Colombia",3899,1386,2687,3174,2955,4203,2018
,"Oradea, Rumania",3894,742,2374,3285,2594,4665,2018
,"Novi Sad, Serbia",3890,747,2374,3120,2889,4841,2018
,"Casablanca, Marruecos",3881,1645,2802,3378,2881,4732,2018
,"Antalya, Turquía",3877,718,2353,3347,2940,5445,2018
,"Skopje, Macedonia del Norte",3851,926,2440,3070,2914,4199,2018
,"Monterrey, México",3845,1152,2546,3516,3806,8422,2018
,"Cuenca, Ecuador",3841,1038,2489,3719,2671,4344,2018
,"Brasov, Rumania",3837,996,2467,3140,3382,6791,2018
,"Ulán Bator, Mongolia",3813,1134,2521,3723,2559,3371,2018
,"Medan, Indonesia",3799,471,2194,4160,1835,4428,2018
,"Teherán, Irán",3780,1993,2918,3445,3090,4328,2018
,"Colombo, Sri Lanka",3772,988,2429,4198,2274,2762,2018
,"Bandung, Indonesia",3768,605,2242,4319,1712,3390,2018
,"Ciudad de México, México",3754,1784,2804,3466,3265,6403,2018
,"Astana (Nur-Sultan), Kazajistán",3751,1488,2660,3267,3879,4049,2018
,"Nis, Serbia",3732,573,2209,2967,3085,3868,2018
,"Kigali, Ruanda",3718,1185,2496,3127,2733,2822,2018
,"Argel, Argelia",3713,861,2338,3843,2286,3338,2018
,"Arad, Rumania",3647,922,2333,3052,2855,6077,2018
,"Asunción, Paraguay",3616,1071,2388,3088,2765,3468,2018
,"Santa Cruz de la Sierra, Bolivia",3614,1426,2559,2942,2915,5764,2018
,"Katmandú, Nepal",3606,583,2148,3322,2192,2373,2018
,"Almaty, Kazajistán",3605,1172,2431,2866,3551,4681,2018
,"Medellín, Colombia",3587,1233,2452,3173,2761,2933,2018
,"Cancún, México",3558,980,2315,2993,3530,6169,2018
,"Minsk, Bielorrusia",3530,1125,2371,2855,3812,4377,2018
,"Gurgaon, India",3490,1096,2336,3259,3088,11097,2018
,"Craiova, Rumania",3434,684,2107,2861,2541,5856,2018
,"Guadalajara, México",3419,1012,2258,3315,3082,7187,2018
,"Tijuana, México",3413,1081,2288,3267,3265,4526,2018
,"Ereván, Armenia",3412,937,2218,2773,3177,3252,2018
,"Kampala, Uganda",3409,759,2131,2802,2664,2336,2018
,"Chisináu, Moldavia",3406,935,2214,2764,2550,3139,2018
,"Ciudad Quezón, Filipinas",3393,779,2133,2954,1944,2957,2018
,"Hermosillo, México",3386,729,2105,3030,2975,7733,2018
,"Davao, Filipinas",3367,684,2073,3275,1683,2886,2018
,"Daca, Bangladés",3364,683,2071,3189,2354,3772,2018
,"Caracas, Venezuela",3364,963,2206,3503,3079,372,2018
,"Querétaro (Santiago de Querétaro), México",3351,952,2194,3317,2796,6318,2018
,"Mérida, México",3318,758,2083,3201,2675,3723,2018
,"Cali, Colombia",3304,744,2069,2879,2376,3971,2018
,"Puerto Vallarta, México",3270,1152,2248,3227,3103,6236,2018
,"Puebla, México",3265,722,2038,2836,2784,4528,2018
,"Bombay, India",3259,2272,2783,3294,2668,7349,2018
,"Noida, India",3237,656,1992,3312,2404,9595,2018
,"Delhi, India",3214,974,2134,3067,2754,7833,2018
,"Bakú, Azerbaiyán",3131,965,2086,2790,3231,2919,2018
,"Valenzuela, Filipinas",3123,382,1801,3244,1295,3190,2018
,"Islamabad, Pakistán",3083,879,2020,2850,2350,4320,2018
,"Bangalore, India",3034,976,2041,3147,2023,10026,2018
,"Túnez, Túnez",3006,739,1913,2949,1819,3432,2018
,"Thane, India",2982,930,1992,3107,2118,7055,2018
,"Odesa (Odesa), Ucrania",2979,1023,2036,2229,2404,2773,2018
,"Tiflis, Georgia",2973,1060,2050,2465,2918,3561,2018
,"Pune, India",2966,795,1919,3075,2140,9944,2018
,"Lahore, Pakistán",2953,667,1850,2683,2639,5144,2018
,"Pristina, Kosovo",2925,938,1967,2597,2278,6457,2018
,"Chandigarh, India",2904,647,1815,2940,2018,6883,2018
,"Ahmedabad, India",2867,624,1785,3142,2013,7359,2018
,"Surat, India",2866,469,1710,3197,1984,5784,2018
,"Chennai, India",2842,712,1814,3117,1826,7234,2018
,"Goa, India",2830,827,1864,2980,2296,5455,2018
,"Indore, India",2806,466,1678,2774,1777,5042,2018
,"Calcuta, India",2799,777,1824,2853,2318,5630,2018
,"Lucknow (Lakhnau), India",2755,490,1662,2725,1876,7610,2018
,"Kiev (Kiev), Ucrania",2752,1243,2024,2196,2201,3748,2018
,"Jaipur, India",2711,519,1654,2765,1848,7650,2018
,"Karachi, Pakistán",2710,746,1763,2560,2162,3906,2018
,"Hyderabad, India",2692,689,1726,2760,1893,8090,2018
,"El Cairo, Egipto",2649,543,1633,2323,2255,2527,2018
,"Dnipró, Ucrania",2639,663,1686,2046,2274,3106,2018
,"Nagpur, India",2623,496,1597,2655,1873,9519,2018
,"Bhopal, India",2607,413,1549,2249,1621,6621,2018
,"Vadodara, India",2559,401,1518,2785,1602,8063,2018
,"Mangalore, India",2546,570,1593,2685,1604,9453,2018
,"Lviv, Ucrania",2531,810,1701,2050,1788,2688,2018
,"Mysore, India",2520,401,1498,2939,1331,4249,2018
,"Bhubaneshwar, India",2489,468,1514,2822,1491,5756,2018
,"Járkov, Ucrania",2485,829,1687,1926,1844,2719,2018
,"Visakhapatnam, India",2466,485,1511,2583,1807,6397,2018
,"Cochín, India",2465,631,1580,2693,1394,7770,2018
,"Coimbatore, India",2461,535,1532,2523,1521,5323,2018
,"Alejandría, Egipto",2378,434,1440,2319,1766,2375,2018
,"Navi Mumbai, India",2344,625,1515,2402,1414,11199,2018
,"Thiruvananthapuram, India",2086,510,1326,2198,1206,6625,2018
,"Basilea, Suiza",13137,4562,9019,12740,12841,13250,2019
,"Zúrich, Suiza",12687,5972,9462,12853,12615,13994,2019
,"Lausana, Suiza",12342,4862,8750,12821,12011,12720,2019
,"Berna, Suiza",12317,3937,8293,12206,11449,12954,2019
,"Ginebra, Suiza",11887,6710,9401,11600,12304,12636,2019
,"Lugano, Suiza",11800,4602,8343,11769,11834,12638,2019
,"Stavanger, Noruega",10389,3631,7144,9235,12361,11008,2019
,"Reikiavik, Islandia",10220,5086,7754,8990,11903,9311,2019
,"Oslo, Noruega",10190,4478,7447,9304,10925,10091,2019
,"Nueva York, Nueva York, Estados Unidos",10000,10000,10000,10000,10000,10000,2019
,"Bergen, Noruega",9975,3607,6917,8782,11323,10497,2019
,"Trondheim, Noruega",9875,3719,6919,8991,11195,10772,2019
,"Honolulu, Hawaii, Estados Unidos",9567,6158,7930,10664,8575,10103,2019
,"Washington D. C., Estados Unidos",9199,7051,8168,9845,8655,12608,2019
,"San Francisco, California, Estados Unidos",9167,10605,9858,9422,9211,13405,2019
,"Brooklyn, Nueva York, Estados Unidos",9029,7999,8534,8717,9434,8719,2019
,"Luxemburgo, Luxemburgo",8964,5668,7381,8041,9629,11279,2019
,"Tokio, Japón",8845,3716,6382,8887,5490,10266,2019
,"Copenhague, Dinamarca",8459,4757,6681,6535,10250,10933,2019
,"París, Francia",8427,4601,6590,7666,8645,8927,2019
,"Oakland, California, Estados Unidos",8424,7555,8007,8469,8194,13428,2019
,"Seattle, Washington, Estados Unidos",8416,6368,7432,8269,8009,13920,2019
,"Odense, Dinamarca",8282,2152,5338,6461,11310,11302,2019
,"Seúl, Corea del Sur",8278,2852,5672,9722,5186,9641,2019
,"Boston, Massachusetts, Estados Unidos",8268,7259,7784,8276,8194,12189,2019
,"Londres, Reino Unido",8140,7002,7594,6082,8596,9276,2019
,"Aalborg, Dinamarca",8139,2331,5350,6731,9055,12556,2019
,"Ámsterdam, Países Bajos",8088,5309,6753,6356,8715,9616,2019
,"Toronto, Canadá",8068,4790,6494,8130,7609,8738,2019
,"Miami, Florida, Estados Unidos",8045,5581,6862,7943,8345,8692,2019
,"Filadelfia, Pensilvania, Estados Unidos",8019,4539,6348,8037,7508,11848,2019
,"Aarhus, Dinamarca",7970,3068,5616,5976,9183,12212,2019
,"Osaka, Japón",7949,2243,5209,7719,4890,9692,2019
,"Estocolmo, Suecia",7875,4021,6024,6889,8559,10400,2019
,"Albany, Nueva York, Estados Unidos",7850,3109,5573,7774,7872,10565,2019
,"Tel Aviv-Yafo, Israel",7846,3867,5935,6686,8644,8631,2019
,"Sídney, Australia",7839,5837,6878,6901,7118,12047,2019
,"Helsinki, Finlandia",7833,3397,5703,6263,8727,10532,2019
,"Los Angeles, California, Estados Unidos",7820,6926,7390,7405,8512,11347,2019
,"Hong Kong, Hong Kong, China)",7814,7683,7751,8030,5608,6934,2019
,"Lyon, Francia",7790,2603,5299,7119,7082,9005,2019
,"Sacramento, California, Estados Unidos",7776,4454,6181,7460,7462,13120,2019
,"Chicago, Illinois, Estados Unidos",7775,5161,6520,7390,7896,13336,2019
,"Dublín, Irlanda",7739,5868,6840,5996,8557,9073,2019
,"Auckland, Nueva Zelanda",7698,3973,5909,6720,7010,9688,2019
,"Linz, Austria",7667,2528,5199,6896,8037,9264,2019
,"Florencia, Italia",7645,2869,5352,6550,8239,6480,2019
,"La Haya (Den Haag), Países Bajos",7641,3581,5692,6078,8479,9316,2019
,"Tampere, Finlandia",7638,2506,5174,6709,7670,11033,2019
,"San José, California, Estados Unidos",7636,7715,7674,7181,8233,17252,2019
,"Utrecht, Países Bajos",7595,3600,5676,5985,8626,9514,2019
,"Bellingham, Washington, Estados Unidos",7570,3484,5608,7811,7124,10733,2019
,"Charlotte, Carolina del Norte, Estados Unidos",7563,4078,5890,7304,7621,14553,2019
,"Bruselas, Bélgica",7545,3096,5409,6479,8647,9671,2019
,"Leiden, Países Bajos",7540,3218,5465,5773,8251,9401,2019
,"Mineápolis, Estados Unidos",7533,4624,6136,7106,7744,12590,2019
,"Baltimore, Maryland, Estados Unidos",7524,3995,5830,7303,7731,12536,2019
,"Rochester, Nueva York, Estados Unidos",7501,3040,5359,8012,7184,8222,2019
,"Portland, Oregon, Estados Unidos",7493,4876,6236,7212,7244,12351,2019
,"Estrasburgo, Francia",7479,2341,5012,6680,7347,9220,2019
,"Pittsburgh, Pensilvania, Estados Unidos",7479,3644,5637,7115,7018,10913,2019
,"Reading, Reino Unido",7462,3738,5674,6943,7003,11462,2019
,"Jerusalén, Israel",7451,3087,5355,6009,8335,8338,2019
,"Génova, Italia",7414,1907,4770,6545,7560,7296,2019
,"Haifa, Israel",7382,1901,4750,5927,8299,9112,2019
,"Gante, Bélgica",7371,2452,5009,5944,8363,9010,2019
,"Toulouse, Francia",7371,2210,4893,6796,7192,10641,2019
,"Maastricht, Países Bajos",7362,3005,5270,6087,7371,10948,2019
,"Perth, Australia",7361,3087,5308,6626,7754,13069,2019
,"Múnich, Alemania",7337,4297,5877,5807,7819,11033,2019
,"Graz, Austria",7333,2156,4847,6959,6043,9724,2019
,"Saskatoon, Canadá",7307,2416,4958,7145,6887,10076,2019
,"Newcastle, Australia",7298,3482,5466,6380,8643,12447,2019
,"Porcelana de Delft, Países Bajos",7296,2878,5175,5769,6634,8505,2019
,"Hamburgo, Alemania",7284,3423,5430,5721,6786,10824,2019
,"San Diego, California, Estados Unidos",7267,6065,6690,6620,7901,13648,2019
,"Milán, Italia",7264,3783,5592,6013,8208,6887,2019
,"Cork, Irlanda",7243,3798,5589,5840,7593,10071,2019
,"Wellington, Nueva Zelanda",7236,3842,5606,6652,6712,10779,2019
,"Atlanta, Georgia, Estados Unidos",7226,4618,5974,6838,7208,14547,2019
,"Amberes, Bélgica",7218,2510,4957,5726,8361,9455,2019
,"Melbourne, Australia",7211,4245,5787,6609,7041,12094,2019
,"Galway, Irlanda",7193,3326,5336,6237,7299,9075,2019
,"Eindhoven, Países Bajos",7179,3292,5312,5760,7944,12731,2019
,"Aberdeen, Reino Unido",7169,2591,4971,5667,8709,12307,2019
,"Ramat Gan, Israel",7164,3236,5278,5538,7876,11347,2019
,"Gotemburgo, Suecia",7149,2792,5057,6476,7591,11294,2019
,"Groningen, Países Bajos",7134,2651,4981,5984,7748,9156,2019
,"Buffalo, Nueva York, Estados Unidos",7107,2828,5052,6390,7868,10947,2019
,"Cambridge, Reino Unido",7092,4099,5655,5425,8496,9750,2019
,"Fráncfort del Óder, Alemania",7081,3427,5326,5476,6790,11906,2019
,"Denver, Colorado, Estados Unidos",7072,5164,6156,6683,7676,12676,2019
,"Rotterdam, Países Bajos",7059,3492,5346,5390,7586,10449,2019
,"Christchurch, Nueva Zelanda",7047,2677,4949,6471,6937,11496,2019
,"Tampa, Florida, Estados Unidos",7046,3884,5528,7098,7207,12380,2019
,"Upsala, Suecia",7045,2404,4816,6110,7620,10785,2019
,"Asheville, Carolina del Norte, Estados Unidos",7044,3776,5474,7194,6824,9834,2019
,"Cleveland Ohio, Estados Unidos",7036,2839,5021,6456,7154,11012,2019
,"Limerick, Irlanda",7028,2840,5017,6297,6913,8456,2019
,"Malmo, Suecia",7023,2546,4873,6298,7619,10147,2019
,"Milwaukee, Wisconsin, Estados Unidos",7022,3474,5318,6663,7610,10227,2019
,"Raleigh, Carolina del Norte, Estados Unidos",7006,3566,5354,7528,6532,16035,2019
,"Austin, Texas, Estados Unidos",6994,4983,6029,6732,7548,14376,2019
,"Roma, Italia",6984,3616,5367,5862,7812,6452,2019
,"Singapur, Singapur",6979,5310,6177,5748,4675,10377,2019
,"Oxford, Reino Unido",6979,4647,5859,5190,7412,8566,2019
,"Brisbane, Australia",6978,3629,5370,6164,7338,13082,2019
,"Canberra, Australia",6973,3862,5479,6554,6878,14653,2019
,"Brighton, Reino Unido",6961,4106,5590,5112,8408,8249,2019
,"Edimburgo, Reino Unido",6950,3220,5159,5879,8335,10218,2019
,"Orlando Florida, Estados Unidos",6938,3935,5496,6891,6962,11568,2019
,"Lund, Suecia",6929,2476,4791,6309,7047,12365,2019
,"Leuven, Bélgica",6917,2602,4845,5572,7697,9563,2019
,"Viena, Austria",6912,3301,5178,6375,6722,9823,2019
,"Brístol, Reino Unido",6907,3457,5250,5323,8393,11148,2019
,"Jacksonville, Florida, Estados Unidos",6900,3045,5049,6839,6992,13331,2019
,"Bonn, Alemania",6898,2704,4884,5432,6458,10412,2019
,"Núremberg, Alemania",6894,2472,4771,5554,6487,10391,2019
,"Halifax, Canadá",6886,2611,4833,7225,5928,9673,2019
,"Kansas City, Missouri, Estados Unidos",6881,2981,5008,6311,7451,13513,2019
,"Turín, Italia",6864,2016,4536,5710,7533,7905,2019
,"Berlín, Alemania",6862,3185,5096,5543,5912,10474,2019
,"Fresno, California, Estados Unidos",6854,3057,5031,5936,9338,10193,2019
,"Düsseldorf, Alemania",6848,2890,4947,5318,6279,12226,2019
,"Bremen, Alemania",6843,2119,4575,5523,6352,11458,2019
,"Newcastle upon Tyne, Reino Unido",6841,2303,4662,5871,6819,11134,2019
,"Calgary, Canadá",6840,2981,4986,6351,6930,13166,2019
,"Bolonia, Italia",6805,2399,4689,5659,7615,7281,2019
,"Tucson, Arizona, Estados Unidos",6799,2387,4680,5734,6803,11599,2019
,"Lille, Francia",6790,2358,4662,5477,6466,9702,2019
,"Vancouver, Canadá",6788,4705,5788,6589,6845,9145,2019
,"Las Vegas, Nevada, Estados Unidos",6781,2997,4964,6268,7109,13359,2019
,"Hobart, Australia",6779,2472,4711,6630,6602,12869,2019
